# Every command/header report the Windows app sent on EP 0x01 (continuation chunks omitted)
# frame	t_seconds	cmd	size_field(DRA only)	first_16_bytes_hex
39	13,742297	DIS		43525400004449530000000000000000
41	14,133536	LIG		43525400004c49470000320000000000
43	14,215157	DRA	14579	4352540000445241000038f3b1000000
73	14,252901	DRA	14579	4352540000445241000038f3b1000000
103	14,330754	DRA	14579	4352540000445241000038f3b1000000
133	14,342983	DRA	14579	4352540000445241000038f3b1000000
163	14,405121	DRA	14579	4352540000445241000038f3b1000000
193	14,417521	DRA	14579	4352540000445241000038f3b1000000
223	14,446257	DRA	33606	435254000044524100008346b1000000
289	14,467516	DRA	33606	435254000044524100008346b1000000
355	14,506986	DRA	37570	4352540000445241000092c2b1000000
429	14,538912	DRA	37662	43525400004452410000931eb1000000
503	14,561680	DRA	37515	43525400004452410000928bb1000000
577	14,596134	DRA	37515	43525400004452410000928bb1000000
651	14,624942	DRA	37499	43525400004452410000927bb1000000
725	14,662732	DRA	37115	4352540000445241000090fbb1000000
799	14,686971	DRA	37168	435254000044524100009130b1000000
873	14,727646	DRA	37586	4352540000445241000092d2b1000000
947	14,757968	DRA	37586	4352540000445241000092d2b1000000
1021	14,782511	DRA	37138	435254000044524100009112b1000000
1095	14,811504	DRA	36976	435254000044524100009070b1000000
1169	14,845049	DRA	36976	435254000044524100009070b1000000
1243	14,873657	DRA	37031	4352540000445241000090a7b1000000
1317	14,903833	DRA	37034	4352540000445241000090aab1000000
1391	14,937885	DRA	37143	435254000044524100009117b1000000
1465	14,965616	DRA	37143	435254000044524100009117b1000000
1539	14,998143	DRA	36760	435254000044524100008f98b1000000
1611	15,039894	DRA	37036	4352540000445241000090acb1000000
1685	15,062062	DRA	37448	435254000044524100009248b1000000
1759	15,102846	DRA	36922	43525400004452410000903ab1000000
1833	15,126428	DRA	36922	43525400004452410000903ab1000000
1907	15,156370	DRA	36813	435254000044524100008fcdb1000000
1979	15,187554	DRA	37489	435254000044524100009271b1000000
2053	15,227325	DRA	37612	4352540000445241000092ecb1000000
2127	15,248267	DRA	37612	4352540000445241000092ecb1000000
2201	15,279878	DRA	37249	435254000044524100009181b1000000
2275	15,312555	DRA	44623	43525400004452410000ae4fb1000000
2363	15,345991	DRA	44623	43525400004452410000ae4fb1000000
2451	15,382187	DRA	44673	43525400004452410000ae81b1000000
2539	15,405830	DRA	44470	43525400004452410000adb6b1000000
2627	15,438521	DRA	44502	43525400004452410000add6b1000000
2715	15,465817	DRA	44502	43525400004452410000add6b1000000
2803	15,506402	DRA	44583	43525400004452410000ae27b1000000
2891	15,537427	DRA	44424	43525400004452410000ad88b1000000
2979	15,562511	DRA	44342	43525400004452410000ad36b1000000
3067	15,601385	DRA	44744	43525400004452410000aec8b1000000
3155	15,625642	DRA	44744	43525400004452410000aec8b1000000
3243	15,672184	DRA	44926	43525400004452410000af7eb1000000
3331	15,688430	DRA	44414	43525400004452410000ad7eb1000000
3419	15,724956	DRA	44669	43525400004452410000ae7db1000000
3507	15,755011	DRA	44669	43525400004452410000ae7db1000000
3595	15,787090	DRA	44345	43525400004452410000ad39b1000000
3683	15,812759	DRA	44404	43525400004452410000ad74b1000000
3771	15,848511	DRA	44404	43525400004452410000ad74b1000000
3859	15,880601	DRA	44494	43525400004452410000adceb1000000
3947	15,906616	DRA	44472	43525400004452410000adb8b1000000
4035	15,937775	DRA	44525	43525400004452410000adedb1000000
4123	15,966057	DRA	44525	43525400004452410000adedb1000000
4211	16,005163	DRA	44576	43525400004452410000ae20b1000000
4299	16,029554	DRA	44548	43525400004452410000ae04b1000000
4387	16,063633	DRA	44481	43525400004452410000adc1b1000000
4475	16,096658	DRA	44481	43525400004452410000adc1b1000000
4563	16,125109	DRA	45182	43525400004452410000b07eb1000000
4653	16,154460	DRA	45202	43525400004452410000b092b1000000
4743	16,187742	DRA	45145	43525400004452410000b059b1000000
4833	16,219368	DRA	45145	43525400004452410000b059b1000000
4923	16,251971	DRA	44888	43525400004452410000af58b1000000
5011	16,282342	DRA	45106	43525400004452410000b032b1000000
5101	16,434192	DRA	44952	43525400004452410000af98b1000000
5189	16,503792	DRA	45214	43525400004452410000b09eb1000000
5279	16,564829	DRA	45343	43525400004452410000b11fb1000000
5369	16,626843	DRA	45170	43525400004452410000b072b1000000
5459	16,685313	DRA	44759	43525400004452410000aed7b1000000
5547	16,750820	DRA	45216	43525400004452410000b0a0b1000000
5637	16,812689	DRA	44764	43525400004452410000aedcb1000000
5725	16,878344	DRA	44539	43525400004452410000adfbb1000000
5813	16,939175	DRA	44765	43525400004452410000aeddb1000000
5901	17,002049	DRA	44536	43525400004452410000adf8b1000000
5989	17,063097	DRA	44745	43525400004452410000aec9b1000000
6077	17,126032	DRA	44686	43525400004452410000ae8eb1000000
6165	17,187292	DRA	44555	43525400004452410000ae0bb1000000
6253	17,251714	DRA	45194	43525400004452410000b08ab1000000
6343	17,311219	DRA	44990	43525400004452410000afbeb1000000
6431	17,377002	DRA	44914	43525400004452410000af72b1000000
6519	17,435384	DRA	44691	43525400004452410000ae93b1000000
6607	17,496882	DRA	44714	43525400004452410000aeaab1000000
6695	17,558840	DRA	44652	43525400004452410000ae6cb1000000
6783	17,621324	DRA	44569	43525400004452410000ae19b1000000
6871	17,686274	DRA	45159	43525400004452410000b067b1000000
6961	17,749362	DRA	44896	43525400004452410000af60b1000000
7049	17,810134	DRA	44583	43525400004452410000ae27b1000000
7137	17,875616	DRA	44758	43525400004452410000aed6b1000000
7225	17,936396	DRA	44473	43525400004452410000adb9b1000000
7313	18,000032	DRA	44567	43525400004452410000ae17b1000000
7401	18,061032	DRA	44539	43525400004452410000adfbb1000000
7489	18,124299	DRA	45169	43525400004452410000b071b1000000
7579	18,184613	DRA	45186	43525400004452410000b082b1000000
7669	18,247667	DRA	45151	43525400004452410000b05fb1000000
7759	18,310348	DRA	45037	43525400004452410000afedb1000000
7847	18,371149	DRA	44666	43525400004452410000ae7ab1000000
7935	18,437742	DRA	44835	43525400004452410000af23b1000000
8023	18,504071	DRA	44880	43525400004452410000af50b1000000
8111	18,562499	DRA	44870	43525400004452410000af46b1000000
8199	18,623008	DRA	45407	43525400004452410000b15fb1000000
8289	18,683900	DRA	44831	43525400004452410000af1fb1000000
8377	18,749584	DRA	45202	43525400004452410000b092b1000000
8467	18,821859	DRA	45320	43525400004452410000b108b1000000
8557	19,032652	DRA	44981	43525400004452410000afb5b1000000
8645	19,050513	DRA	44981	43525400004452410000afb5b1000000
8733	19,081917	DRA	45258	43525400004452410000b0cab1000000
8823	19,146718	DRA	44919	43525400004452410000af77b1000000
8911	19,187121	DRA	45459	43525400004452410000b193b1000000
9001	19,282553	DRA	44941	43525400004452410000af8db1000000
9089	19,312125	DRA	45433	43525400004452410000b179b1000000
9179	19,405217	DRA	45415	43525400004452410000b167b1000000
9269	19,453329	DRA	45034	43525400004452410000afeab1000000
9357	19,515991	DRA	45534	43525400004452410000b1deb1000000
9447	19,577156	DRA	45350	43525400004452410000b126b1000000
9537	19,640892	DRA	45200	43525400004452410000b090b1000000
9627	19,702554	DRA	45412	43525400004452410000b164b1000000
9717	19,765788	DRA	44902	43525400004452410000af66b1000000
9805	19,815104	DRA	45181	43525400004452410000b07db1000000
9895	19,890755	DRA	45026	43525400004452410000afe2b1000000
9983	19,940093	DRA	45282	43525400004452410000b0e2b1000000
10073	20,014879	DRA	44882	43525400004452410000af52b1000000
10161	20,076408	DRA	44994	43525400004452410000afc2b1000000
10249	20,152045	DRA	45204	43525400004452410000b094b1000000
10339	20,200855	DRA	45152	43525400004452410000b060b1000000
10429	20,253720	DRA	44691	43525400004452410000ae93b1000000
10517	20,314900	DRA	45352	43525400004452410000b128b1000000
10607	20,375970	DRA	44978	43525400004452410000afb2b1000000
10695	20,436479	DRA	45048	43525400004452410000aff8b1000000
10783	20,500407	DRA	44839	43525400004452410000af27b1000000
10871	20,559714	DRA	44864	43525400004452410000af40b1000000
10959	20,646989	DRA	44724	43525400004452410000aeb4b1000000
11047	20,685137	DRA	45174	43525400004452410000b076b1000000
11137	20,785450	DRA	44972	43525400004452410000afacb1000000
11225	20,835266	DRA	44953	43525400004452410000af99b1000000
11313	20,897635	DRA	44894	43525400004452410000af5eb1000000
11401	20,958596	DRA	44777	43525400004452410000aee9b1000000
11489	21,021096	DRA	44668	43525400004452410000ae7cb1000000
11577	21,079829	DRA	44681	43525400004452410000ae89b1000000
11665	21,171777	DRA	45122	43525400004452410000b042b1000000
11755	21,235042	DRA	45225	43525400004452410000b0a9b1000000
11845	21,271397	DRA	45389	43525400004452410000b14db1000000
11935	21,319708	DRA	45256	43525400004452410000b0c8b1000000
12025	21,392061	DRA	45227	43525400004452410000b0abb1000000
12115	21,443448	DRA	44850	43525400004452410000af32b1000000
12203	21,517456	DRA	44872	43525400004452410000af48b1000000
12291	21,565398	DRA	44914	43525400004452410000af72b1000000
12379	21,626855	DRA	45144	43525400004452410000b058b1000000
12469	21,685259	DRA	44897	43525400004452410000af61b1000000
12557	21,750235	DRA	44986	43525400004452410000afbab1000000
12645	21,809353	DRA	44575	43525400004452410000ae1fb1000000
12733	21,874710	DRA	44710	43525400004452410000aea6b1000000
12821	21,936508	DRA	44963	43525400004452410000afa3b1000000
12909	21,997375	DRA	44999	43525400004452410000afc7b1000000
12997	22,064494	DRA	44908	43525400004452410000af6cb1000000
13085	22,128656	DRA	44491	43525400004452410000adcbb1000000
13173	22,184483	DRA	44700	43525400004452410000ae9cb1000000
13261	22,249926	DRA	44464	43525400004452410000adb0b1000000
13349	22,312611	DRA	45010	43525400004452410000afd2b1000000
13437	22,370947	DRA	44698	43525400004452410000ae9ab1000000
13525	22,435128	DRA	44796	43525400004452410000aefcb1000000
13613	22,499597	DRA	45029	43525400004452410000afe5b1000000
13701	22,568072	DRA	44820	43525400004452410000af14b1000000
13789	22,622673	DRA	44890	43525400004452410000af5ab1000000
13877	22,687216	DRA	44801	43525400004452410000af01b1000000
13965	22,756263	DRA	44792	43525400004452410000aef8b1000000
14053	22,825966	DRA	44771	43525400004452410000aee3b1000000
14141	22,883170	DRA	44526	43525400004452410000adeeb1000000
14229	22,935470	DRA	44480	43525400004452410000adc0b1000000
14317	22,997731	DRA	44862	43525400004452410000af3eb1000000
14405	23,060594	DRA	45092	43525400004452410000b024b1000000
14495	23,124460	DRA	44896	43525400004452410000af60b1000000
14583	23,184933	DRA	44800	43525400004452410000af00b1000000
14671	23,254063	DRA	44634	43525400004452410000ae5ab1000000
14759	23,312981	DRA	44777	43525400004452410000aee9b1000000
14847	23,383723	DRA	44344	43525400004452410000ad38b1000000
14935	23,438753	DRA	44626	43525400004452410000ae52b1000000
15023	23,504137	DRA	44498	43525400004452410000add2b1000000
15111	23,561129	DRA	44139	43525400004452410000ac6bb1000000
15199	23,621612	DRA	44132	43525400004452410000ac64b1000000
15287	23,662286	CON		4352540000434f4e4e45435400000000
15289	23,685685	DRA	43798	43525400004452410000ab16b1000000
15375	23,753747	DRA	44018	43525400004452410000abf2b1000000
15461	23,823624	DRA	43850	43525400004452410000ab4ab1000000
15547	23,879123	DRA	43658	43525400004452410000aa8ab1000000
15633	23,946379	DRA	43871	43525400004452410000ab5fb1000000
15719	24,004737	DRA	43674	43525400004452410000aa9ab1000000
15805	24,067539	DRA	43698	43525400004452410000aab2b1000000
15891	24,127818	DRA	43278	43525400004452410000a90eb1000000
15977	24,185952	DRA	43408	43525400004452410000a990b1000000
16063	24,254385	DRA	43236	43525400004452410000a8e4b1000000
16149	24,323410	DRA	43283	43525400004452410000a913b1000000
16235	24,379888	DRA	43280	43525400004452410000a910b1000000
16321	24,448806	DRA	43194	43525400004452410000a8bab1000000
16407	24,501236	DRA	43791	43525400004452410000ab0fb1000000
16493	24,567039	DRA	43926	43525400004452410000ab96b1000000
16579	24,662253	DRA	44377	43525400004452410000ad59b1000000
16667	24,686352	DRA	44314	43525400004452410000ad1ab1000000
16755	24,753733	DRA	44657	43525400004452410000ae71b1000000
16843	24,824167	DRA	44282	43525400004452410000acfab1000000
16931	24,880119	DRA	44626	43525400004452410000ae52b1000000
17019	24,946306	DRA	44629	43525400004452410000ae55b1000000
17107	25,004938	DRA	44094	43525400004452410000ac3eb1000000
17195	25,069387	DRA	44465	43525400004452410000adb1b1000000
17283	25,128997	DRA	44544	43525400004452410000ae00b1000000
17371	25,186320	DRA	44390	43525400004452410000ad66b1000000
17459	25,256386	DRA	44191	43525400004452410000ac9fb1000000
17547	25,321360	DRA	44423	43525400004452410000ad87b1000000
17635	25,371355	DRA	44303	43525400004452410000ad0fb1000000
17723	25,446357	DRA	44463	43525400004452410000adafb1000000
17811	25,500570	DRA	44013	43525400004452410000abedb1000000
17897	25,565714	DRA	43744	43525400004452410000aae0b1000000
17983	25,626618	DRA	43421	43525400004452410000a99db1000000
18069	25,686674	DRA	43644	43525400004452410000aa7cb1000000
18155	25,754456	DRA	44042	43525400004452410000ac0ab1000000
18243	25,823568	DRA	44146	43525400004452410000ac72b1000000
18331	25,880909	DRA	44632	43525400004452410000ae58b1000000
18419	25,947655	DRA	44792	43525400004452410000aef8b1000000
18507	26,005057	DRA	44555	43525400004452410000ae0bb1000000
18595	26,067136	DRA	44288	43525400004452410000ad00b1000000
18683	26,128603	DRA	44384	43525400004452410000ad60b1000000
18771	26,186753	DRA	44361	43525400004452410000ad49b1000000
18859	26,257074	DRA	44455	43525400004452410000ada7b1000000
18947	26,320374	DRA	44290	43525400004452410000ad02b1000000
19035	26,384042	DRA	44792	43525400004452410000aef8b1000000
19123	26,441615	DRA	45208	43525400004452410000b098b1000000
19213	26,505928	DRA	45061	43525400004452410000b005b1000000
19303	26,570073	DRA	44851	43525400004452410000af33b1000000
19391	26,628101	DRA	45123	43525400004452410000b043b1000000
19481	26,687579	DRA	44906	43525400004452410000af6ab1000000
19569	26,756312	DRA	44824	43525400004452410000af18b1000000
19657	26,815262	DRA	44855	43525400004452410000af37b1000000
19745	26,880051	DRA	44544	43525400004452410000ae00b1000000
19833	26,938149	DRA	44819	43525400004452410000af13b1000000
19921	27,002673	DRA	44447	43525400004452410000ad9fb1000000
20009	27,064917	DRA	45075	43525400004452410000b013b1000000
20099	27,127388	DRA	44829	43525400004452410000af1db1000000
20187	27,188420	DRA	44774	43525400004452410000aee6b1000000
20275	27,256391	DRA	44628	43525400004452410000ae54b1000000
20363	27,314406	DRA	44803	43525400004452410000af03b1000000
20451	27,380495	DRA	44759	43525400004452410000aed7b1000000
20539	27,437981	DRA	44789	43525400004452410000aef5b1000000
20627	27,502037	DRA	45059	43525400004452410000b003b1000000
20717	27,563628	DRA	45142	43525400004452410000b056b1000000
20807	27,629620	DRA	45106	43525400004452410000b032b1000000
20897	27,686446	DRA	45149	43525400004452410000b05db1000000
20987	27,753467	DRA	45299	43525400004452410000b0f3b1000000
21077	27,812318	DRA	45138	43525400004452410000b052b1000000
21167	27,877100	DRA	44792	43525400004452410000aef8b1000000
21255	27,937058	DRA	44545	43525400004452410000ae01b1000000
21343	27,999297	DRA	44854	43525400004452410000af36b1000000
21431	28,070192	DRA	44939	43525400004452410000af8bb1000000
21519	28,127607	DRA	45235	43525400004452410000b0b3b1000000
21609	28,190987	DRA	45199	43525400004452410000b08fb1000000
21699	28,262387	DRA	45116	43525400004452410000b03cb1000000
21789	28,321105	DRA	44733	43525400004452410000aebdb1000000
21877	28,393605	DRA	44825	43525400004452410000af19b1000000
21965	28,445045	DRA	44489	43525400004452410000adc9b1000000
22053	28,508466	DRA	44226	43525400004452410000acc2b1000000
22141	28,569136	DRA	44262	43525400004452410000ace6b1000000
22229	28,626872	DRA	44353	43525400004452410000ad41b1000000
22317	28,689047	DRA	44023	43525400004452410000abf7b1000000
22403	28,759165	DRA	44703	43525400004452410000ae9fb1000000
22491	28,820611	DRA	44400	43525400004452410000ad70b1000000
22579	28,884925	DRA	44978	43525400004452410000afb2b1000000
22667	28,946098	DRA	44789	43525400004452410000aef5b1000000
22755	29,008883	DRA	44687	43525400004452410000ae8fb1000000
22843	29,070184	DRA	44517	43525400004452410000ade5b1000000
22931	29,130403	DRA	44577	43525400004452410000ae21b1000000
23019	29,197207	DRA	44475	43525400004452410000adbbb1000000
23107	29,251017	DRA	44408	43525400004452410000ad78b1000000
23195	29,321554	DRA	44988	43525400004452410000afbcb1000000
23283	29,384677	DRA	44435	43525400004452410000ad93b1000000
23371	29,445978	DRA	44666	43525400004452410000ae7ab1000000
23459	29,509769	DRA	44743	43525400004452410000aec7b1000000
23547	29,578790	DRA	44823	43525400004452410000af17b1000000
23635	29,627797	DRA	44864	43525400004452410000af40b1000000
23723	29,689186	DRA	44921	43525400004452410000af79b1000000
23811	29,759705	DRA	44767	43525400004452410000aedfb1000000
23899	29,819662	DRA	45619	43525400004452410000b233b1000000
23989	29,883813	DRA	45549	43525400004452410000b1edb1000000
24079	29,945457	DRA	45488	43525400004452410000b1b0b1000000
24169	30,012348	DRA	45148	43525400004452410000b05cb1000000
24259	30,071071	DRA	45300	43525400004452410000b0f4b1000000
24349	30,127503	DRA	45507	43525400004452410000b1c3b1000000
24439	30,188483	DRA	45348	43525400004452410000b124b1000000
24529	30,261808	DRA	45558	43525400004452410000b1f6b1000000
24619	30,321049	DRA	45289	43525400004452410000b0e9b1000000
24709	30,383097	DRA	45346	43525400004452410000b122b1000000
24799	30,441217	DRA	45455	43525400004452410000b18fb1000000
24889	30,506349	DRA	45334	43525400004452410000b116b1000000
24979	30,573304	DRA	45581	43525400004452410000b20db1000000
25069	30,630469	DRA	45116	43525400004452410000b03cb1000000
25159	30,692661	DRA	45133	43525400004452410000b04db1000000
25249	30,756600	DRA	45164	43525400004452410000b06cb1000000
25339	30,820670	DRA	45606	43525400004452410000b226b1000000
25429	30,882895	DRA	44953	43525400004452410000af99b1000000
25517	30,946515	DRA	45453	43525400004452410000b18db1000000
25607	31,004709	DRA	45219	43525400004452410000b0a3b1000000
25697	31,070197	DRA	45049	43525400004452410000aff9b1000000
25785	31,129532	DRA	45300	43525400004452410000b0f4b1000000
25875	31,188858	DRA	45541	43525400004452410000b1e5b1000000
25965	31,255559	DRA	45286	43525400004452410000b0e6b1000000
26055	31,323990	DRA	45411	43525400004452410000b163b1000000
26145	31,377284	DRA	45426	43525400004452410000b172b1000000
26235	31,440956	DRA	45265	43525400004452410000b0d1b1000000
26325	31,501948	DRA	45031	43525400004452410000afe7b1000000
26413	31,570058	DRA	45234	43525400004452410000b0b2b1000000
26503	31,625760	DRA	44960	43525400004452410000afa0b1000000
26591	31,689772	DRA	44959	43525400004452410000af9fb1000000
26679	31,755388	DRA	44959	43525400004452410000af9fb1000000
26767	31,821068	DRA	45096	43525400004452410000b028b1000000
26857	31,880913	DRA	45230	43525400004452410000b0aeb1000000
26947	31,943452	DRA	45372	43525400004452410000b13cb1000000
27037	32,001652	DRA	45367	43525400004452410000b137b1000000
27127	32,067054	DRA	45295	43525400004452410000b0efb1000000
27217	32,127620	DRA	44926	43525400004452410000af7eb1000000
27305	32,190143	DRA	45082	43525400004452410000b01ab1000000
27395	32,248521	DRA	45218	43525400004452410000b0a2b1000000
27485	32,317826	DRA	45438	43525400004452410000b17eb1000000
27575	32,375493	DRA	45227	43525400004452410000b0abb1000000
27665	32,443386	DRA	44957	43525400004452410000af9db1000000
27753	32,500018	DRA	44942	43525400004452410000af8eb1000000
27841	32,566506	DRA	44969	43525400004452410000afa9b1000000
27929	32,625399	DRA	44795	43525400004452410000aefbb1000000
28017	32,686614	DRA	44804	43525400004452410000af04b1000000
28105	32,749324	DRA	44741	43525400004452410000aec5b1000000
28193	32,820306	DRA	45368	43525400004452410000b138b1000000
28283	32,889466	DRA	45174	43525400004452410000b076b1000000
28373	32,947747	DRA	45367	43525400004452410000b137b1000000
28463	32,997556	DRA	45346	43525400004452410000b122b1000000
28553	33,070740	DRA	44962	43525400004452410000afa2b1000000
28641	33,129178	DRA	44836	43525400004452410000af24b1000000
28729	33,196634	DRA	45009	43525400004452410000afd1b1000000
28817	33,251281	DRA	44929	43525400004452410000af81b1000000
28905	33,316029	DRA	45237	43525400004452410000b0b5b1000000
28995	33,390375	DRA	44919	43525400004452410000af77b1000000
29083	33,450018	DRA	44680	43525400004452410000ae88b1000000
29171	33,510438	DRA	44968	43525400004452410000afa8b1000000
29259	33,570409	DRA	45269	43525400004452410000b0d5b1000000
29349	33,627592	DRA	45263	43525400004452410000b0cfb1000000
29439	33,662216	CON		4352540000434f4e4e45435400000000
29441	33,686720	DRA	45297	43525400004452410000b0f1b1000000
29531	33,762080	DRA	45272	43525400004452410000b0d8b1000000
29621	33,820242	DRA	45024	43525400004452410000afe0b1000000
29709	33,886167	DRA	44715	43525400004452410000aeabb1000000
29797	33,953019	DRA	45260	43525400004452410000b0ccb1000000
